seq_len,head_dim,dtype,causal,batch_size,heads,device,method,backend,status,error,mean_latency_ms,median_latency_ms,min_latency_ms,max_latency_ms,std_latency_ms,memory_allocated_bytes
128,32,float16,False,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.009945599967613817,0.009872000198811293,0.009216000325977802,0.010784000158309937,0.0003399537571754922,533504
128,32,float16,False,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.010271999845281243,0.010239999741315842,0.00979200005531311,0.010879999957978725,0.0002762028446980962,533504
128,32,float16,True,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.010284799942746758,0.010239999741315842,0.009983999654650688,0.010912000201642513,0.00021924091845644777,533504
128,32,float16,True,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.01021119998767972,0.010208000428974628,0.009664000011980534,0.011008000001311302,0.0002899312330678581,533504
128,32,bfloat16,False,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.010347199998795987,0.010239999741315842,0.009535999968647957,0.011264000087976456,0.0005869427473120232,533504
128,32,bfloat16,False,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.010227199969813227,0.010191999841481447,0.009696000255644321,0.011264000087976456,0.00039301416443992903,533504
128,32,bfloat16,True,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.01039039995521307,0.010239999741315842,0.0098879998549819,0.011264000087976456,0.0003401797362221946,533504
128,32,bfloat16,True,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.010431999899446964,0.010239999741315842,0.009952000342309475,0.011264000087976456,0.0003606217372648422,533504
128,64,float16,False,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.012931199930608272,0.013023999985307455,0.012191999703645706,0.013791999779641628,0.00041227866897268,1057792
128,64,float16,False,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.012966400012373924,0.012959999963641167,0.01228800043463707,0.013311999849975109,0.00030148003505413605,1057792
128,64,float16,True,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.012966400012373924,0.013040000107139349,0.01228800043463707,0.013311999849975109,0.0003616989017465133,1057792
128,64,float16,True,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.012772800214588643,0.01283199992030859,0.01228800043463707,0.013311999849975109,0.00037074094276800114,1057792
128,64,bfloat16,False,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.012630400061607362,0.012751999776810408,0.011839999817311764,0.01321600005030632,0.00040122686048917283,1057792
128,64,bfloat16,False,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.01263040010817349,0.012719999998807907,0.011839999817311764,0.01321600005030632,0.0003812030528117046,1057792
128,64,bfloat16,True,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.013214399991557001,0.013008000329136848,0.012223999947309494,0.019328000023961067,0.0014381668249584265,1057792
128,64,bfloat16,True,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.012683200137689709,0.01268799975514412,0.012160000391304493,0.013824000023305416,0.00037636058965513945,1057792
128,128,float16,False,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.01765439985319972,0.01775999926030636,0.01708799973130226,0.018432000651955605,0.00037319452387957436,2106368
128,128,float16,False,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.01768000014126301,0.01774400006979704,0.01708799973130226,0.018432000651955605,0.00039575336196236713,2106368
128,128,float16,True,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.012304000090807676,0.01228800043463707,0.011935999616980553,0.012896000407636166,0.0002768509036249289,2106368
128,128,float16,True,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.012368000205606222,0.01228800043463707,0.011872000060975552,0.012864000163972378,0.0002657155746154842,2106368
128,128,bfloat16,False,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.017659200076013803,0.017568000592291355,0.01724799908697605,0.018144000321626663,0.0002943782394411249,2106368
128,128,bfloat16,False,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.01788960015401244,0.01788800023496151,0.017216000705957413,0.018751999363303185,0.00034635085119069593,2106368
128,128,bfloat16,True,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.012233600113540887,0.012191999703645706,0.011872000060975552,0.013183999806642532,0.00035346593609711645,2106368
128,128,bfloat16,True,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.012296000169590116,0.01228800043463707,0.011935999616980553,0.012768000364303589,0.00018846758492893008,2106368
128,256,float16,False,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.02257919991388917,0.022415999323129654,0.02191999927163124,0.023264000192284584,0.0004755419769592477,8414208
128,256,float16,False,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.02280960027128458,0.022512000054121017,0.021503999829292297,0.0306560005992651,0.001858993547976664,8414208
128,256,float16,True,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.02388960011303425,0.02393599972128868,0.02316799946129322,0.02457600086927414,0.00040229418441094884,8414208
128,256,float16,True,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.02384160002693534,0.023711999878287315,0.02319999970495701,0.02457600086927414,0.00043045343041771814,8414208
128,256,bfloat16,False,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.022574399877339602,0.02247999981045723,0.021536000072956085,0.023391999304294586,0.0005107456996383151,8414208
128,256,bfloat16,False,1,16,cuda,flash_forced,cuda_sdpa_flash_forced,ok,,0.02270720014348626,0.022688000462949276,0.021503999829292297,0.023423999547958374,0.0005489096145300638,8414208
128,256,bfloat16,True,1,16,cuda,sdpa_auto,cuda_sdpa_auto,ok,,0.023972800094634296,0.024063999764621258,0.023391999304294586,0.024480000138282776,0.00043327507592239283,8414208
